fold,roster_turnover,n_pairs
1,0.8846153846153846,15
2,0.8928571428571429,16
3,0.875,11
4,0.9583333333333334,14
5,0.96,12
6,0.9,10
7,0.75,10
8,0.9411764705882353,8
9,1.0,11
10,0.9523809523809523,11
11,0.85,12
12,0.84,17
13,0.9696969696969697,17
14,0.90625,18
15,0.9032258064516129,16
16,0.8928571428571429,15
17,0.92,12
18,0.9583333333333334,13
19,0.8571428571428572,19
20,0.9090909090909091,17
21,0.9032258064516129,17
22,0.96875,16
23,0.9666666666666667,15
24,0.9,18
25,0.9714285714285714,18
26,0.9032258064516129,16
27,0.9,17
28,0.9714285714285714,19
29,0.9393939393939394,16
30,0.967741935483871,16
31,0.9285714285714286,14
32,0.8846153846153846,15
33,0.8888888888888888,15
34,0.967741935483871,17
35,0.9615384615384616,10
36,0.8235294117647058,10
37,0.9,12
38,0.9230769230769231,16
39,1.0,15
40,0.9,18
