fold,formation_start,formation_end,trading_start,trading_end,pair,coint_pvalue,hedge_ratio
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,700 HK Equity vs 981 HK Equity,0.0002487510069183388,0.7306445219548547
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1347 HK Equity vs 285 HK Equity,0.010636260178340021,0.3956350616976268
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,826 HK Equity vs 1171 HK Equity,0.00012921324445271887,1.0870950558435208
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,467 HK Equity vs 975 HK Equity,0.00013412831161437923,0.4602526828922163
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1258 HK Equity vs 883 HK Equity,0.00047053082188632634,0.9211081292307175
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,3939 HK Equity vs 857 HK Equity,0.0009204056969194708,-0.32192230100250613
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,639 HK Equity vs 934 HK Equity,0.005147823259274061,1.2239509130544866
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,297 HK Equity vs 358 HK Equity,0.008607273958185353,0.9566833122820932
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,189 HK Equity vs 2600 HK Equity,0.011270011966760795,0.7016860765231372
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,2899 HK Equity vs 1898 HK Equity,0.01133702545706852,0.8839919616594076
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1277 HK Equity vs 2883 HK Equity,0.019455659023230876,0.517135120316743
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1378 HK Equity vs 2689 HK Equity,0.027640866534250512,1.3790404452918368
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1164 HK Equity vs 1818 HK Equity,0.03477542383470501,1.48799826369054
0,2015-01-01,2015-12-18,2015-12-21,2016-03-16,1208 HK Equity vs 386 HK Equity,0.0711679384202265,1.8391195297827492
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,981 HK Equity vs 992 HK Equity,0.0030540109847474618,0.3117893648070612
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,1347 HK Equity vs 285 HK Equity,0.004181675077465355,0.39618514879483335
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,1208 HK Equity vs 883 HK Equity,0.0001714127185249225,1.5615626064731716
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,826 HK Equity vs 1088 HK Equity,0.0011985731689155065,1.7061952723415317
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,297 HK Equity vs 3899 HK Equity,0.001320849097090771,0.8074416376841719
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,1277 HK Equity vs 857 HK Equity,0.0033200491585357425,0.6784317876608134
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,2099 HK Equity vs 2899 HK Equity,0.005069494530460838,0.4222013383226406
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,639 HK Equity vs 934 HK Equity,0.0075628675138926784,1.2815023045547351
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,3939 HK Equity vs 1171 HK Equity,0.009376946853558391,-0.18069927264705024
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,358 HK Equity vs 2386 HK Equity,0.010837315629492285,2.138578178056877
1,2015-03-31,2016-03-16,2016-03-17,2016-06-13,1898 HK Equity vs 2883 HK Equity,0.011559846257607344,0.6160469018302334
